 waffle ,smear,chicken,drizzel,side,price,calories,protein,sodium,carbs,energy,num_occ
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,687.4,42.7,1672.7,81.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,21.75,649.4,38.7,307.7,89.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,21.75,629.4,38.7,267.7,89.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,593.4,40.7,252.7,67.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,693.0,35.7,1079.0,80.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,667.0,40.7,884.0,60.0,21.75,1
Sweet Potato,Maple-Pecan,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,677.4,41.7,502.7,89.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,636.4,47.7,597.7,58.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Sautéed Squash & Onions,21.75,674.4,47.7,451.7,81.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,612.4,44.7,312.7,83.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,625.4,47.7,792.7,71.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,696.4,42.7,1042.7,71.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,616.4,35.7,732.7,78.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,617.4,40.7,422.7,74.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,605.4,47.7,707.7,71.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,625.4,47.7,792.7,71.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,656.0,40.7,1079.0,73.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,36.7,1027.7,94.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,686.0,43.7,894.0,75.0,21.75,1
Sweet Potato,Baby-Blueberry,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,649.4,36.7,452.7,93.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,656.0,40.7,1034.0,73.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,605.4,48.7,757.7,72.0,21.75,1
Sweet Potato,Baby-Blueberry,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,660.4,36.7,257.7,80.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Sautéed Squash & Onions,21.75,676.4,47.7,886.7,78.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,595.4,40.7,687.7,64.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,671.0,40.7,969.0,67.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,673.0,36.7,1044.0,81.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Sautéed Squash & Onions,21.75,674.4,47.7,496.7,81.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,35.7,977.7,93.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Sautéed Squash & Onions,21.75,674.4,48.7,501.7,82.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,21.75,629.4,39.7,272.7,90.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,669.0,40.7,1274.0,57.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Fresh-Cut Fruit,21.75,670.4,35.7,586.7,94.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,620.4,47.7,597.7,65.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,679.4,30.7,937.7,100.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,582.4,40.7,447.7,80.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,692.4,38.7,837.7,95.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,21.75,629.4,38.7,267.7,89.0,21.75,1
The Gingerbread,Vanilla-Almond,A chicken cutlet,Honey Dijon,Smooth Grits,22.75,692.9,38.9,1238.0,93.3,22.75,1
